Entity,Year,Annual CO₂ emissions from coal (per capita)
Argentina,1941,0.18727387
Argentina,1942,0.094803475
Argentina,1943,0.104027614
Argentina,1944,0.108602636
Argentina,1945,0.13212004
Argentina,1946,0.19280541
Argentina,1947,0.2024279
Argentina,1948,0.35483903
Argentina,1949,0.21544425
Argentina,1950,0.2092726
Argentina,1951,0.31517664
Argentina,1952,0.25463304
Argentina,1953,0.17262615
Argentina,1954,0.20250314
Argentina,1955,0.17149274
Argentina,1956,0.20022203
Argentina,1957,0.1733416
Argentina,1958,0.19180265
Argentina,1959,0.18603618
Argentina,1960,0.19159293
Argentina,1961,0.17076989
Argentina,1962,0.09528381
Argentina,1963,0.107585095
Argentina,1964,0.11747214
Argentina,1965,0.11764496
Argentina,1966,0.11520423
Argentina,1967,0.12890254
Argentina,1968,0.10224124
Argentina,1969,0.110190965
Argentina,1970,0.13763978
Argentina,1971,0.12068725
Argentina,1972,0.115966626
Argentina,1973,0.11498455
Argentina,1974,0.13224812
Argentina,1975,0.13891819
Argentina,1976,0.123242535
Argentina,1977,0.10126406
Argentina,1978,0.14125463
Argentina,1979,0.13064405
Argentina,1980,0.102287926
Argentina,1981,0.10388043
Argentina,1982,0.09196976
Argentina,1983,0.07454824
Argentina,1984,0.071900725
Argentina,1985,0.09142623
Argentina,1986,0.11011508
Argentina,1987,0.12072135
Argentina,1988,0.126593
Argentina,1989,0.12841217
Argentina,1990,0.09586204
Argentina,1991,0.0884292
Argentina,1992,0.09221568
Argentina,1993,0.074027464
Argentina,1994,0.10288766
Argentina,1995,0.10667072
Argentina,1996,0.08769311
Argentina,1997,0.07807501
Argentina,1998,0.08673235
Argentina,1999,0.07578007
Argentina,2000,0.06340834
Argentina,2001,0.053364165
Argentina,2002,0.041525405
Argentina,2003,0.06455451
Argentina,2004,0.06522644
Argentina,2005,0.09352281
Argentina,2006,0.10014683
Argentina,2007,0.093942225
Argentina,2008,0.09834319
Argentina,2009,0.08089276
Argentina,2010,0.09885748
Argentina,2011,0.11563413
Argentina,2012,0.120448224
Argentina,2013,0.11366303
Argentina,2014,0.12868173
Argentina,2015,0.12573744
Argentina,2016,0.09548215
Argentina,2017,0.09662622
Argentina,2018,0.09755728
Argentina,2019,0.04765912
Argentina,2020,0.07134721
Argentina,2021,0.09953999
Argentina,2022,0.10526218
Argentina,2023,0.090174325
Armenia,1830,0.00008832011
Armenia,1831,0.00010720834
Armenia,1832,0.000069376845
Armenia,1833,0.00008593262
Armenia,1850,0.00046166775
Armenia,1855,0.0013364782
Armenia,1858,0.0018260301
Armenia,1859,0.0019192299
Armenia,1860,0.0023124004
Armenia,1861,0.0029623352
Armenia,1862,0.0026288887
Armenia,1863,0.0026161103
Armenia,1864,0.002829579
Armenia,1865,0.0026098038
Armenia,1866,0.00908514
Armenia,1867,0.010169342
Armenia,1868,0.0076666004
Armenia,1869,0.010802329
Armenia,1870,0.011721073
Armenia,1871,0.016349666
Armenia,1872,0.016544355
Armenia,1873,0.0139668705
Armenia,1874,0.016020225
Armenia,1875,0.01690917
Armenia,1876,0.019113844
Armenia,1877,0.016936086
Armenia,1878,0.022736147
Armenia,1879,0.021137062
Armenia,1880,0.024985818
Armenia,1881,0.022558799
Armenia,1882,0.023121474
Armenia,1883,0.026555307
Armenia,1884,0.020844303
Armenia,1885,0.019780792
Armenia,1886,0.019875636
Armenia,1887,0.017496645
Armenia,1888,0.017360194
Armenia,1889,0.02016549
Armenia,1890,0.020918917
Armenia,1891,0.02017623
Armenia,1892,0.021628331
Armenia,1893,0.024858922
Armenia,1894,0.028382082
Armenia,1895,0.026270643
Armenia,1896,0.027349968
Armenia,1897,0.031930223
Armenia,1898,0.035180096
Armenia,1899,0.04457477
Armenia,1900,0.04832101
Armenia,1901,0.04395549
Armenia,1902,0.043283697
Armenia,1903,0.046244193
Armenia,1904,0.05487692
Armenia,1905,0.059148073
Armenia,1906,0.066990845
Armenia,1907,0.078420624
Armenia,1908,0.078512274
Armenia,1909,0.081133574
Armenia,1910,0.07503543
Armenia,1911,0.08372286
Armenia,1912,0.102732144
Armenia,1913,0.12044661
Armenia,1914,0.09664546
Armenia,1915,0.07558955
Armenia,1916,0.07958479
Armenia,1917,0.07502428
Armenia,1918,0.028094323
Armenia,1919,0.01629506
Armenia,1920,0.015430286
Armenia,1921,0.01878986
Armenia,1922,0.022605335
Armenia,1923,0.024330335
Armenia,1924,0.03312049
Armenia,1925,0.029705437
Armenia,1926,0.051936246
Armenia,1927,0.06605865
Armenia,1928,0.07822335
Armenia,1929,0.07438918
Armenia,1930,0.073726796
Armenia,1931,0.086950615
Armenia,1932,0.117490165
Armenia,1933,0.14437085
Armenia,1934,0.18274602
Armenia,1935,0.21679893
Armenia,1936,0.25519428
Armenia,1937,0.25446856
Armenia,1938,0.26557142
Armenia,1939,0.26775575
Armenia,1940,0.35546342
Armenia,1941,0.28368255
Armenia,1942,0.08807168
Armenia,1943,0.11073301
Armenia,1944,0.17056197
Armenia,1945,0.2969449
Armenia,1946,0.32426792
Armenia,1947,0.3834814
Armenia,1948,0.39072296
Armenia,1949,0.43248895
Armenia,1950,0.46794915
Armenia,1951,0.4949389
Armenia,1952,0.50013447
Armenia,1953,0.49947408
Armenia,1954,0.52308553
Armenia,1955,0.5624943
Armenia,1956,0.56692266
Armenia,1957,0.5686549
Armenia,1958,0.54397815
Armenia,1959,0.51917446
Armenia,1960,0.48182818
Armenia,1961,0.43635994
Armenia,1962,0.39868182
Armenia,1963,0.3899857
Armenia,1964,0.3803954
Armenia,1965,0.37497625
Armenia,1966,0.3711571
